Date,Mkt-RF,SMB,HML
195012,5.54,1.47,7.36
195101,5.7,1.76,3.64
195102,1.41,0.08,-2.85
195103,-2.15,-0.77,-4.1
195104,4.86,-1.45,3.27
195105,-2.34,0,-1.37
195106,-2.62,-2.06,-3.75
195107,6.94,-1.99,2.06
195108,4.27,0.99,-0.13
195109,0.7,1.87,0.63
195110,-2.53,-0.22,0.23
195111,0.57,-0.32,-0.06
195112,3.33,-2.26,-1.59
195201,1.45,-0.61,1.55
195202,-2.62,0.82,-0.61
195203,4.44,-2.99,2.17
195204,-4.97,0.46,-0.1
195205,3.2,-1,0.04
195206,3.83,-1.64,1.24
195207,0.91,-0.4,-0.35
195208,-0.76,1.15,0.01
195209,-2.03,1.11,-1.52
195210,-0.66,-1.05,-0.46
195211,5.94,-0.72,0.97
195212,2.93,-1.48,0.19
195301,-0.34,3.61,1.32
195302,-0.27,2.15,-0.09
195303,-1.43,-0.22,-0.85
195304,-2.83,0.3,1.57
195305,0.52,-0.07,0.23
195306,-1.89,-1.87,-0.47
195307,2.4,-1,-0.22
195308,-4.52,0.29,-3.53
195309,0.2,-0.84,-2.44
195310,4.6,-1.35,-0.25
195311,2.83,-1.3,-0.15
195312,0.03,-0.85,-2.84
195401,5.13,0.48,3.44
195402,1.67,-0.19,-0.29
195403,3.65,-0.54,-1.5
195404,4.27,-3.44,-0.34
195405,3.09,0.41,2.45
195406,1.07,0.38,0.01
195407,4.99,1.06,4.13
195408,-2.34,2.69,-1.38
195409,6.39,-2.53,0.68
195410,-1.67,0.62,0.67
195411,9.38,-2.62,4.4
195412,5.48,2.12,5.66
195501,0.6,0.36,2.14
195502,3.02,1.59,0.58
195503,-0.16,-0.74,1.97
195504,3.11,-1.62,0.68
195505,0.93,-0.28,-0.96
195506,6.55,-4.65,1.84
195507,1.9,-1.17,0.35
195508,0.21,-0.44,0.72
195509,-0.36,0.35,-0.99
195510,-2.68,1.48,-0.15
195511,7.03,-2.22,0.33
195512,1.49,2.16,-2.3
195601,-3.03,0.37,0.95
195602,3.77,-0.98,-0.43
195603,6.64,-2.09,-0.46
195604,0.28,0.01,-0.24
195605,-5.2,1.45,-1.31
195606,3.48,-1.48,-1.13
195607,4.84,-1.66,-0.04
195608,-3.18,1.89,-0.74
195609,-5.14,1.57,1.76
195610,0.52,-0.1,-0.06
195611,0.36,-0.21,1.78
195612,3.16,-0.01,-2.15
195701,-3.58,3.37,2.81
195702,-2.06,-0.72,-0.72
195703,2.13,0.26,-0.48
195704,4.26,-1.59,-1.45
195705,3.45,-1.05,-2.1
195706,-0.74,0.54,0.01
195707,0.66,-0.76,0.43
195708,-5.11,0.05,-0.41
195709,-5.98,0.08,0.92
195710,-4.32,-2.52,-1.8
195711,2.3,0.4,-2.87
195712,-3.91,-0.98,-1.62
195801,4.66,4.39,4.19
195802,-1.52,0.65,0.33
195803,3.27,0.65,-0.97
195804,3.09,-0.62,1.61
195805,2.31,2.16,-0.26
195806,2.93,-0.19,0.4
195807,4.39,0.47,3.06
195808,1.91,1.18,0.36
195809,4.66,0.12,2.85
195810,2.53,1.09,-1.18
195811,3.01,1.97,-1.18
195812,5.15,-2.03,0.03
195901,0.71,3.02,2.91
195902,0.95,1.46,1.16
195903,0.28,1.49,-0.34
195904,3.66,-0.6,-1.23
195905,1.73,-2.16,1.79
195906,-0.25,0.67,1.31
195907,3.17,-0.3,0.23
195908,-1.39,-0.76,0.44
195909,-4.8,-0.09,0.55
195910,1.28,1.44,-2.1
195911,1.6,1.23,-3.21
195912,2.45,-0.58,-0.07
196001,-6.98,2.09,2.78
196002,1.17,0.51,-1.93
196003,-1.63,-0.49,-2.94
196004,-1.71,0.32,-2.28
196005,3.12,1.21,-3.7
196006,2.08,-0.21,-0.34
196007,-2.37,-0.51,1.98
196008,3.01,0.87,-0.18
196009,-5.99,-1.11,1.62
196010,-0.71,-4.08,2.83
196011,4.69,0.4,-2.43
196012,4.71,-1.55,-0.81
196101,6.2,0.64,3.72
196102,3.57,3.93,-0.66
196103,2.89,3.3,-0.73
196104,0.29,0.07,2.12
196105,2.4,2.01,0.37
196106,-3.08,-2.49,-0.14
196107,2.83,-1.9,-0.09
196108,2.57,-1.75,-0.28
196109,-2.15,-1.07,-0.61
196110,2.57,-1.65,0.15
196111,4.45,1.26,-1.23
196112,-0.18,-0.85,1.79
196201,-3.87,1.77,5.13
196202,1.81,-1.15,0.82
196203,-0.68,0.52,-1.38
196204,-6.59,-0.7,0.03
196205,-8.65,-3.34,2.77
196206,-8.47,-0.59,2.55
196207,6.28,1.52,-3.41
196208,2.13,1.22,-1.2
196209,-5.22,-2.42,1.28
196210,-0.05,-3.97,1.3
196211,10.87,2.61,0.95
196212,1.01,-3.8,0.36
196301,4.93,3.08,2.21
196302,-2.38,0.48,2.18
196303,3.08,-2.59,2.06
196304,4.51,-1.34,1
196305,1.76,1.13,2.54
196306,-2,-0.27,0.75
196307,-0.39,-0.45,-0.97
196308,5.07,-0.98,1.8
196309,-1.57,-0.33,0.13
196310,2.53,-0.58,-0.1
196311,-0.85,-1.17,1.75
196312,1.83,-2.16,-0.02
196401,2.24,-0.11,1.48
196402,1.54,0.11,2.81
196403,1.41,0.87,3.4
196404,0.1,-1.35,-0.67
196405,1.42,-0.86,1.86
196406,1.27,-0.12,0.62
196407,1.74,0.24,0.75
196408,-1.44,0.16,0.08
196409,2.69,-0.54,1.7
196410,0.59,0.42,1.17
196411,0,0.69,-1.96
196412,0.03,-0.35,-2.48
196501,3.54,2.7,0.12
196502,0.44,3.55,0.11
196503,-1.34,1.89,1.03
196504,3.11,1.1,0.66
196505,-0.77,0.11,-1.61
196506,-5.51,-4.34,0.59
196507,1.43,0.89,2.2
196508,2.73,2.84,-1
196509,2.86,0.64,-0.13
196510,2.6,2.52,1.56
196511,-0.03,4.68,0.15
196512,1.01,2.06,2.03
196601,0.72,3.84,3.56
196602,-1.21,4.4,0.33
196603,-2.51,0.99,-1.98
196604,2.14,3.43,-0.46
196605,-5.66,-4.6,-1.63
196606,-1.44,1.03,0.5
196607,-1.63,-0.36,0.95
196608,-7.91,-3.27,0.43
196609,-1.06,-1.04,0.56
196610,3.86,-6.52,2.69
196611,1.4,4.24,-4.69
196612,0.13,1.97,-1.19
196701,8.15,8.32,2.27
196702,0.78,3.35,-2.22
196703,3.99,1.55,0.37
196704,3.89,0.63,-2.48
196705,-4.33,1.9,1.09
196706,2.41,5.93,0.85
196707,4.58,3.12,2.73
196708,-0.89,0.42,1.44
196709,3.11,3.06,-2.5
196710,-3.09,1.46,-3.3
196711,0.37,0.21,-1.7
196712,3.05,5.73,-0.53
196801,-4.06,3.92,4.8
196802,-3.75,-2.94,1.28
196803,0.2,-1.34,-0.59
196804,9.05,5.68,-1.13
196805,2.28,6.4,0.85
196806,0.69,-0.19,0.73
196807,-2.72,-1.36,5.39
196808,1.34,2.34,1.01
196809,4.03,2.8,0.3
196810,0.42,-0.48,2.86
196811,5.43,2.34,-0.92
196812,-3.94,3.37,-0.01
196901,-1.25,-0.74,1.67
196902,-5.84,-3.92,0.91
196903,2.64,-0.3,-0.51
196904,1.46,-0.86,-0.03
196905,-0.1,-0.21,0.7
196906,-7.18,-5.37,-1.08
196907,-7,-3.24,1.2
196908,4.68,0.93,-3.79
196909,-2.98,1.18,-3.27
196910,5.06,3.91,-3.16
196911,-3.79,-2.58,-1.19
196912,-2.63,-3.71,-2.86
197001,-8.1,2.93,3.13
197002,5.13,-2.58,3.93
197003,-1.06,-2.32,3.99
197004,-11,-6.15,6.18
197005,-6.92,-4.59,3.33
197006,-5.79,-2.13,0.6
197007,6.93,-0.5,0.9
197008,4.49,1.52,1.15
197009,4.18,8.59,-5.47
197010,-2.28,-4.21,0.22
197011,4.6,-3.94,1.69
197012,5.72,2.92,1
197101,4.84,7.36,1.33
197102,1.41,1.86,-1.23
197103,4.13,2.62,-3.95
197104,3.15,-0.49,0.69
197105,-3.98,-1.04,-1.44
197106,-0.1,-1.47,-1.87
197107,-4.5,-1.48,0.02
197108,3.79,-0.17,2.63
197109,-0.85,0.51,-2.91
197110,-4.42,-1.76,-0.48
197111,-0.46,-2.77,-1.68
197112,8.71,3.29,-0.4
197201,2.49,5.85,2.24
197202,2.87,1.3,-2.79
197203,0.63,-0.24,-1.61
197204,0.29,0.11,0.12
197205,1.25,-2.69,-2.7
197206,-2.43,0.27,-2.48
197207,-0.8,-2.87,0.66
197208,3.26,-4.03,4.54
197209,-1.14,-2.65,0.46
197210,0.52,-2.73,1.34
197211,4.6,-1.2,4.85
197212,0.62,-1.95,-2.19
197301,-3.29,-3.49,2.68
197302,-4.85,-3.87,1.6
197303,-1.3,-2.82,2.62
197304,-5.68,-3.85,5.41
197305,-2.94,-6.3,0.41
197306,-1.57,-2.86,1.2
197307,5.05,7.97,-5.31
197308,-3.82,-2.13,1.24
197309,4.75,3.04,2.01
197310,-0.83,-0.45,1.94
197311,-12.75,-7.67,3.87
197312,0.61,-5.35,3.85
197401,-0.17,9.68,6.02
197402,-0.47,-0.18,2.81
197403,-2.81,2.6,-0.32
197404,-5.29,-0.74,0.85
197405,-4.68,-2.96,-2.02
197406,-2.83,-0.17,0.77
197407,-8.05,0.84,5.16
197408,-9.35,-0.73,2.64
197409,-11.77,0.27,5.58
197410,16.1,-3.46,-9.87
197411,-4.51,-1.21,-0.2
197412,-3.45,-4.83,0.11
197501,13.66,11.14,8.28
197502,5.56,0.16,-4.44
197503,2.66,3.78,2.38
197504,4.23,-0.65,-1.14
197505,5.19,3.83,-4.1
197506,4.83,0.87,1.38
